DATE,PM2.5,PM10,CO2,HCHO
2022-11-04 15:26:17,5,8,865,0.029
2022-11-04 15:27:17,5,8,762,0.027
2022-11-04 15:28:17,1,2,462,0.016
2022-11-04 15:29:16,1,2,458,0.014
2022-11-04 15:30:16,1,2,419,0.010
2022-11-04 15:31:16,0,0,407,0.009
2022-11-04 15:32:17,0,1,404,0.009
2022-11-04 15:33:17,1,1,405,0.009
2022-11-04 15:34:16,1,1,399,0.009
2022-11-04 15:35:16,1,2,546,0.015
2022-11-04 15:36:17,3,5,644,0.019
2022-11-04 15:37:17,3,4,628,0.018
2022-11-04 15:38:17,3,5,621,0.018
2022-11-04 15:39:16,3,5,624,0.019
2022-11-04 15:40:16,3,5,620,0.018
2022-11-04 15:41:16,2,4,601,0.018
2022-11-04 15:42:17,3,5,588,0.019
2022-11-04 15:43:17,2,3,585,0.018
2022-11-04 15:44:17,2,3,576,0.018
2022-11-04 15:45:17,1,2,562,0.017
2022-11-04 15:46:16,1,2,553,0.017
2022-11-04 15:47:16,1,3,551,0.017
2022-11-04 15:48:17,2,3,551,0.017
2022-11-04 15:49:17,2,4,603,0.021
2022-11-04 15:50:17,2,4,640,0.021
2022-11-04 15:51:17,1,3,636,0.021
2022-11-04 16:55:48,2,4,845,0.071
2022-11-04 16:56:48,2,3,604,0.058
2022-11-04 16:57:48,1,2,409,0.013
2022-11-04 16:58:48,1,2,397,0.001
2022-11-04 16:59:48,1,1,440,0.001
2022-11-04 17:00:48,1,1,449,0.002
2022-11-04 17:01:48,0,1,390,0.009
2022-11-04 17:02:48,1,1,387,0.011
2022-11-04 17:03:48,0,1,370,0.009
2022-11-04 17:04:48,0,0,370,0.008
2022-11-04 17:05:48,0,0,369,0.009
2022-11-04 17:06:48,0,1,368,0.009
2022-11-04 17:07:48,0,1,367,0.007
2022-11-04 17:08:48,0,1,366,0.008
2022-11-04 17:09:48,1,1,369,0.008
2022-11-04 17:10:48,0,0,374,0.005
2022-11-04 17:11:48,0,0,377,0.006
2022-11-04 17:12:48,0,1,379,0.007
2022-11-04 17:13:48,0,0,377,0.009
2022-11-04 17:14:48,0,1,409,0.009
2022-11-04 17:15:48,1,2,376,0.006
2022-11-04 17:16:48,0,1,368,0.007
2022-11-04 17:17:48,1,1,369,0.007
2022-11-04 17:18:48,1,1,372,0.006
2022-11-04 17:19:48,1,1,372,0.007
2022-11-04 17:20:48,0,1,370,0.005
2022-11-04 17:21:48,1,1,365,0.007
2022-11-04 17:22:49,1,1,366,0.007
2022-11-04 17:23:48,1,2,369,0.008
2022-11-04 17:24:48,1,2,366,0.009
2022-11-04 17:25:48,1,1,363,0.009
2022-11-04 17:26:48,1,1,365,0.008
2022-11-04 17:27:48,1,1,362,0.009
2022-11-04 17:28:49,1,1,373,0.011
2022-11-04 17:29:48,0,1,366,0.013
2022-11-04 17:30:48,0,1,366,0.012
2022-11-04 17:31:48,0,0,365,0.013
2022-11-04 17:32:48,0,1,362,0.014
2022-11-04 17:33:48,0,0,362,0.015
2022-11-04 17:34:49,0,1,363,0.016
2022-11-04 17:35:48,0,1,362,0.015
2022-11-04 17:36:48,1,1,363,0.014
2022-11-04 17:37:48,0,0,366,0.024
2022-11-04 17:38:48,1,1,369,0.022
2022-11-04 17:39:48,1,2,369,0.018
2022-11-04 17:40:49,1,2,367,0.017
2022-11-04 17:41:48,1,1,349,0.019
2022-11-04 17:42:48,1,2,439,0.020
2022-11-04 17:43:48,1,1,361,0.021
2022-11-04 17:44:48,1,1,315,0.020
2022-11-04 17:45:48,2,4,415,0.016
2022-11-04 17:46:49,1,1,451,0.020
2022-11-04 17:47:49,0,0,432,0.025
2022-11-04 17:48:48,0,0,420,0.030
2022-11-04 17:49:48,0,0,413,0.033
2022-11-04 17:50:48,0,0,406,0.036
2022-11-04 17:51:48,0,0,373,0.036
2022-11-04 17:52:49,0,0,376,0.033
2022-11-04 17:53:49,1,2,388,0.020
2022-11-04 17:54:48,0,1,387,0.017
2022-11-04 17:55:48,1,2,403,0.017
2022-11-04 17:56:48,1,2,537,0.021
2022-11-04 17:57:48,1,1,576,0.023
2022-11-04 17:58:49,1,1,548,0.023
2022-11-04 17:59:49,1,1,525,0.024
2022-11-04 18:00:48,0,1,514,0.025
2022-11-04 18:01:48,1,2,518,0.026
2022-11-04 18:02:48,1,1,524,0.028
2022-11-04 18:03:48,1,1,526,0.025
2022-11-04 18:04:49,3,5,524,0.025
