DATE,PM2.5,PM10,CO2,HCHO
2022-09-22 06:13:00,1,1,465,0.082
2022-09-22 06:14:00,1,1,463,0.049
2022-09-22 06:15:00,1,1,461,0.039
2022-09-22 06:16:00,1,1,460,0.035
2022-09-22 06:17:00,0,0,461,0.034
2022-09-22 06:18:00,1,1,506,0.031
2022-09-22 06:19:01,0,1,458,0.030
2022-09-22 06:20:01,0,1,460,0.030
2022-09-22 06:21:00,0,1,470,0.029
2022-09-22 06:22:00,0,1,468,0.029
2022-09-22 06:23:00,0,0,467,0.028
2022-09-22 06:24:00,0,1,465,0.028
2022-09-22 06:25:01,0,1,461,0.028
2022-09-22 06:26:01,1,1,460,0.028
2022-09-22 06:27:00,0,0,460,0.027
2022-09-22 06:28:00,1,1,459,0.027
2022-09-22 06:29:00,0,1,462,0.027
2022-09-22 06:30:00,0,1,464,0.027
2022-09-22 06:31:01,0,1,469,0.027
2022-09-22 06:32:01,1,1,468,0.027
2022-09-22 06:33:00,0,1,469,0.026
2022-09-22 06:34:00,0,1,474,0.027
2022-09-22 06:35:00,0,1,473,0.027
2022-09-22 06:36:00,0,1,474,0.027
2022-09-22 06:37:01,0,0,490,0.027
2022-09-22 06:38:01,0,1,486,0.027
2022-09-22 06:39:00,0,0,486,0.027
2022-09-22 06:40:00,1,1,530,0.027
2022-09-22 06:41:00,0,1,514,0.026
2022-09-22 06:42:00,0,1,497,0.026
2022-09-22 06:43:01,0,1,490,0.026
2022-09-22 06:44:01,1,1,490,0.026
2022-09-22 06:45:00,0,1,487,0.026
2022-09-22 06:46:00,0,1,580,0.026
2022-09-22 06:47:00,1,1,598,0.025
2022-09-22 06:48:00,0,1,557,0.025
2022-09-22 06:49:01,1,1,608,0.025
2022-09-22 06:50:01,0,1,601,0.025
2022-09-22 06:51:00,0,1,541,0.025
2022-09-22 06:52:00,1,1,576,0.025
2022-09-22 06:53:00,0,1,565,0.024
2022-09-22 06:54:01,1,1,551,0.024
2022-09-22 06:55:01,0,1,536,0.024
2022-09-22 06:56:01,0,0,533,0.024
