DATE,PM2.5,PM10,CO2,HCHO
2022-09-26 07:26:32,0,0,496,0.011
2022-09-26 07:27:32,1,1,651,0.013
2022-09-26 07:28:32,1,1,843,0.019
2022-09-26 07:29:32,1,1,1065,0.021
2022-09-26 07:30:31,0,0,1157,0.023
2022-09-26 07:31:32,1,2,1266,0.024
2022-09-26 07:32:32,0,0,1410,0.024
2022-09-26 07:33:32,1,1,1530,0.025
2022-09-26 07:34:32,0,1,1598,0.024
2022-09-26 07:35:32,0,1,1703,0.025
2022-09-26 07:36:32,0,1,1806,0.025
2022-09-26 07:37:32,0,0,1948,0.025
2022-09-26 07:38:32,0,1,1964,0.025
2022-09-26 07:39:32,0,1,2016,0.025
2022-09-26 07:40:32,0,0,2082,0.025
2022-09-26 07:41:32,0,0,2178,0.024
2022-09-26 07:42:32,0,0,2226,0.024
2022-09-26 07:43:32,0,0,2236,0.024
2022-09-26 07:44:32,0,1,2288,0.023
2022-09-26 07:45:32,0,0,2345,0.024
2022-09-26 07:46:32,0,0,2393,0.024
2022-09-26 07:47:32,0,1,2399,0.023
2022-09-26 07:48:32,0,1,2427,0.023
2022-09-26 07:49:32,0,0,2444,0.023
2022-09-26 07:50:32,0,1,2464,0.023
2022-09-26 07:51:32,0,0,2497,0.023
2022-09-26 07:52:32,0,0,2502,0.023
2022-09-26 07:53:32,0,0,2554,0.023
2022-09-26 07:54:32,0,1,2625,0.023
2022-09-26 07:55:32,0,0,2698,0.023
2022-09-26 07:56:32,0,0,2732,0.023
2022-09-26 07:57:33,0,0,2736,0.023
2022-09-26 07:58:32,0,0,2716,0.022
2022-09-26 07:59:32,0,1,2729,0.022
2022-09-26 08:00:32,0,0,2742,0.022
2022-09-26 08:01:32,0,0,2775,0.023
2022-09-26 08:02:32,0,0,2796,0.023
2022-09-26 08:03:32,0,0,2777,0.022
2022-09-26 08:04:32,0,0,2775,0.022
2022-09-26 08:05:32,0,0,2757,0.022
2022-09-26 08:06:32,0,0,2731,0.022
2022-09-26 08:07:32,0,0,2736,0.022
2022-09-26 08:08:32,0,1,2731,0.021
2022-09-26 08:09:32,0,0,2708,0.022
2022-09-26 08:10:32,0,0,2720,0.022
2022-09-26 08:11:33,0,1,2771,0.023
2022-09-26 08:12:33,0,1,2732,0.021
2022-09-26 08:13:32,0,0,2726,0.021
2022-09-26 08:14:32,0,1,2745,0.022
2022-09-26 08:15:32,0,1,2727,0.021
2022-09-26 08:16:32,0,1,2716,0.022
2022-09-26 08:17:32,0,0,2704,0.022
2022-09-26 08:18:33,0,0,1337,0.010
2022-09-26 08:19:32,0,0,620,0.001
2022-09-26 08:20:32,0,0,522,0.001
2022-09-26 08:21:32,0,0,499,0.003
2022-09-26 08:22:32,0,0,488,0.003
2022-09-26 08:23:32,0,0,484,0.004
2022-09-26 08:24:33,0,1,485,0.005
2022-09-26 08:25:33,0,0,486,0.005
2022-09-26 08:28:06,0,0,482,0.003
2022-09-26 08:43:06,0,0,514,0.006
2022-09-26 08:44:06,0,1,515,0.008
2022-09-26 08:45:06,0,0,499,0.006
2022-09-26 08:46:06,0,1,502,0.007
2022-09-26 08:47:06,0,1,485,0.008
2022-09-26 08:48:06,0,1,474,0.009
2022-09-26 08:49:06,0,0,474,0.010
2022-09-26 08:50:06,0,0,479,0.011
2022-09-26 08:51:06,0,1,650,0.011
2022-09-26 08:52:06,0,1,698,0.013
2022-09-26 08:53:06,0,0,691,0.012
2022-09-26 08:54:06,0,0,684,0.011
2022-09-26 08:55:06,0,0,682,0.011
2022-09-26 08:56:06,0,0,681,0.011
2022-09-26 08:57:06,0,0,670,0.011
2022-09-26 08:58:06,0,0,674,0.011
2022-09-26 08:59:06,0,0,670,0.011
2022-09-26 09:00:07,0,1,636,0.010
2022-09-26 09:01:06,0,0,525,0.011
2022-09-26 09:02:06,0,0,497,0.012
2022-09-26 09:03:06,0,1,484,0.013
2022-09-26 09:04:06,0,1,489,0.014
2022-09-26 09:18:06,0,0,489,0.009
2022-09-26 09:19:07,0,0,488,0.009
2022-09-26 09:20:06,0,0,488,0.009
2022-09-26 09:21:06,0,0,487,0.008
2022-09-26 09:22:06,0,0,487,0.008
2022-09-26 09:23:06,0,0,486,0.008
2022-09-26 09:24:06,0,0,486,0.008
2022-09-26 09:25:07,0,0,485,0.008
2022-09-26 09:26:06,0,0,486,0.008
2022-09-26 09:27:06,0,0,485,0.008
2022-09-26 09:28:06,0,0,486,0.008
2022-09-26 09:29:06,0,0,487,0.008
2022-09-26 09:30:06,0,0,487,0.008
2022-09-26 09:31:07,0,0,485,0.008
2022-09-26 09:32:07,0,0,485,0.008
2022-09-26 09:33:06,0,0,486,0.008
2022-09-26 09:34:06,0,0,485,0.008
2022-09-26 09:35:06,0,0,484,0.009
2022-09-26 09:36:06,0,0,485,0.009
2022-09-26 09:37:07,0,0,493,0.009
2022-09-26 09:38:07,0,0,490,0.009
2022-09-26 09:39:06,0,0,488,0.009
2022-09-26 09:40:06,0,0,486,0.009
2022-09-26 09:41:06,0,0,486,0.009
2022-09-26 09:42:06,0,0,485,0.009
