DATE,PM2.5,PM10,CO2,HCHO
2023-07-20 00:00:53,12,18,421,0.008
2023-07-20 00:01:53,12,19,422,0.009
2023-07-20 00:02:53,12,19,421,0.008
2023-07-20 00:03:53,12,19,420,0.007
2023-07-20 00:04:53,12,20,420,0.008
2023-07-20 00:05:52,12,18,422,0.009
2023-07-20 00:06:52,11,17,422,0.008
2023-07-20 00:07:52,12,18,422,0.008
2023-07-20 00:08:53,12,19,421,0.007
2023-07-20 00:09:53,12,19,422,0.007
2023-07-20 00:10:53,13,20,421,0.007
2023-07-20 00:11:52,13,22,421,0.007
2023-07-20 00:12:52,12,19,422,0.007
2023-07-20 00:13:52,12,19,421,0.009
2023-07-20 00:14:53,13,20,421,0.009
2023-07-20 00:15:53,13,21,422,0.010
2023-07-20 00:16:53,12,19,422,0.010
2023-07-20 00:17:53,12,19,422,0.009
2023-07-20 00:18:52,13,21,422,0.010
2023-07-20 00:19:52,13,20,422,0.008
2023-07-20 00:20:53,13,21,421,0.009
2023-07-20 00:21:53,13,20,421,0.009
2023-07-20 00:22:53,13,20,421,0.007
2023-07-20 00:23:53,13,20,422,0.010
2023-07-20 00:24:52,12,19,421,0.009
2023-07-20 00:25:52,12,17,421,0.009
2023-07-20 00:26:52,12,19,422,0.009
2023-07-20 00:27:53,13,20,422,0.009
2023-07-20 00:28:53,13,20,422,0.009
2023-07-20 00:29:53,13,20,422,0.009
2023-07-20 00:30:53,13,21,423,0.009
2023-07-20 00:31:52,12,19,423,0.009
2023-07-20 00:32:52,12,18,423,0.009
2023-07-20 00:33:53,13,20,423,0.008
2023-07-20 00:34:53,13,21,423,0.009
2023-07-20 00:35:53,12,20,423,0.008
2023-07-20 00:36:53,12,18,424,0.008
2023-07-20 00:37:53,11,18,425,0.008
2023-07-20 00:38:52,13,20,426,0.009
2023-07-20 00:39:52,13,20,426,0.009
2023-07-20 00:40:53,13,20,425,0.006
2023-07-20 00:41:53,11,17,424,0.008
2023-07-20 00:42:53,12,19,425,0.009
2023-07-20 00:43:53,12,19,425,0.009
2023-07-20 00:44:52,12,19,425,0.009
2023-07-20 00:45:52,12,19,424,0.009
2023-07-20 00:46:53,13,20,424,0.008
2023-07-20 00:47:53,12,19,425,0.009
2023-07-20 00:48:53,11,19,426,0.008
2023-07-20 00:49:53,13,21,426,0.007
2023-07-20 00:50:53,13,20,426,0.008
2023-07-20 00:51:52,12,19,426,0.009
2023-07-20 00:52:53,12,19,426,0.009
2023-07-20 00:53:53,12,18,425,0.008
2023-07-20 00:54:53,12,18,425,0.008
2023-07-20 00:55:53,12,19,426,0.008
2023-07-20 00:56:53,11,17,426,0.008
2023-07-20 00:57:52,11,17,425,0.008
2023-07-20 00:58:52,13,21,426,0.008
2023-07-20 00:59:53,12,19,427,0.007
2023-07-20 01:00:53,13,20,427,0.008
2023-07-20 01:01:53,13,21,427,0.009
2023-07-20 01:02:53,13,20,427,0.007
2023-07-20 01:03:53,13,20,427,0.008
2023-07-20 01:04:52,11,18,427,0.007
2023-07-20 01:05:53,12,20,428,0.008
2023-07-20 01:06:53,12,19,429,0.008
2023-07-20 01:07:53,12,20,431,0.008
2023-07-20 01:08:53,12,18,432,0.008
2023-07-20 01:09:53,13,21,432,0.008
2023-07-20 01:10:52,12,18,432,0.008
2023-07-20 01:11:53,11,18,431,0.007
2023-07-20 01:12:53,13,21,431,0.007
2023-07-20 01:13:53,12,19,429,0.007
2023-07-20 01:14:53,12,20,429,0.007
2023-07-20 01:15:53,13,20,428,0.007
2023-07-20 01:16:53,12,19,429,0.007
2023-07-20 01:17:52,12,18,429,0.008
2023-07-20 01:18:53,11,18,428,0.007
2023-07-20 01:19:53,12,19,429,0.007
2023-07-20 01:20:53,12,20,428,0.008
2023-07-20 01:21:53,12,19,427,0.007
2023-07-20 01:22:53,12,19,427,0.007
2023-07-20 01:23:52,11,17,425,0.007
2023-07-20 01:24:53,11,17,424,0.008
2023-07-20 01:25:53,11,18,424,0.007
2023-07-20 01:26:53,11,17,425,0.007
2023-07-20 01:27:53,12,18,424,0.007
2023-07-20 01:28:53,12,18,424,0.006
2023-07-20 01:29:53,13,21,423,0.007
2023-07-20 01:30:53,12,19,424,0.006
2023-07-20 01:31:53,12,19,424,0.008
2023-07-20 01:32:53,12,20,424,0.007
2023-07-20 01:33:53,13,19,425,0.007
2023-07-20 01:34:53,12,19,426,0.008
2023-07-20 01:35:53,12,19,426,0.007
2023-07-20 01:36:53,12,18,426,0.007
2023-07-20 01:37:53,12,19,426,0.006
2023-07-20 01:38:53,13,20,427,0.007
2023-07-20 01:39:53,12,20,428,0.006
2023-07-20 01:40:53,12,19,431,0.007
2023-07-20 01:41:53,12,19,431,0.007
2023-07-20 01:42:53,11,18,431,0.007
2023-07-20 01:43:53,11,18,431,0.008
2023-07-20 01:44:53,11,18,430,0.007
2023-07-20 01:45:53,12,19,430,0.007
2023-07-20 01:46:53,13,20,429,0.006
2023-07-20 01:47:53,11,18,429,0.007
2023-07-20 01:48:53,11,17,429,0.007
2023-07-20 01:49:54,12,19,429,0.007
2023-07-20 01:50:53,12,19,429,0.007
2023-07-20 01:51:53,13,20,429,0.007
2023-07-20 01:52:53,11,17,428,0.006
2023-07-20 01:53:53,12,19,428,0.005
2023-07-20 01:54:53,14,22,428,0.005
2023-07-20 01:55:53,11,17,427,0.006
2023-07-20 01:56:53,12,18,426,0.007
2023-07-20 01:57:54,12,18,426,0.006
2023-07-20 01:58:53,11,16,427,0.007
2023-07-20 01:59:53,11,17,427,0.007
2023-07-20 02:00:53,12,18,426,0.006
2023-07-20 02:01:53,11,17,425,0.006
2023-07-20 02:02:53,10,16,426,0.007
2023-07-20 02:03:53,13,22,428,0.007
2023-07-20 02:04:54,12,19,430,0.007
2023-07-20 02:05:53,11,18,430,0.006
2023-07-20 02:06:53,12,20,430,0.006
2023-07-20 02:07:53,12,18,430,0.007
2023-07-20 02:08:53,11,17,429,0.007
2023-07-20 02:09:53,11,18,428,0.005
2023-07-20 02:10:53,11,17,429,0.006
2023-07-20 02:11:54,12,18,430,0.007
2023-07-20 02:12:54,12,19,430,0.005
2023-07-20 02:13:53,12,19,428,0.007
2023-07-20 02:14:53,12,18,429,0.005
2023-07-20 02:15:53,12,18,429,0.005
2023-07-20 02:16:53,12,19,431,0.005
2023-07-20 02:17:53,13,20,431,0.005
2023-07-20 02:18:54,12,18,431,0.005
2023-07-20 02:19:54,11,17,431,0.005
2023-07-20 02:20:53,12,18,431,0.005
2023-07-20 02:21:53,11,18,431,0.005
2023-07-20 02:22:53,11,16,430,0.005
2023-07-20 02:23:53,11,18,431,0.005
2023-07-20 02:24:53,11,19,431,0.005
2023-07-20 02:25:53,12,17,432,0.005
2023-07-20 02:26:54,10,16,432,0.005
2023-07-20 02:27:54,11,17,432,0.005
2023-07-20 02:28:53,11,18,433,0.004
2023-07-20 02:29:53,12,18,433,0.005
2023-07-20 02:30:53,13,20,433,0.004
2023-07-20 02:31:53,11,17,433,0.005
2023-07-20 02:32:53,11,18,432,0.006
2023-07-20 02:33:54,11,17,433,0.005
2023-07-20 02:34:54,11,18,432,0.005
2023-07-20 02:35:54,12,19,432,0.006
2023-07-20 02:36:53,12,19,432,0.006
2023-07-20 02:37:53,10,16,432,0.005
2023-07-20 02:38:53,11,18,432,0.005
2023-07-20 02:39:53,11,18,432,0.006
2023-07-20 02:40:53,11,18,432,0.005
2023-07-20 02:41:54,10,16,432,0.006
2023-07-20 02:42:54,12,19,432,0.006
2023-07-20 02:43:54,12,19,432,0.006
2023-07-20 02:44:53,11,17,432,0.005
2023-07-20 02:45:53,11,18,432,0.005
2023-07-20 02:46:53,11,16,432,0.005
2023-07-20 02:47:53,11,18,431,0.006
2023-07-20 02:48:54,11,17,432,0.006
2023-07-20 02:49:54,12,18,432,0.005
2023-07-20 02:50:54,10,16,433,0.005
2023-07-20 02:51:54,11,17,434,0.005
2023-07-20 02:52:53,11,16,434,0.005
2023-07-20 02:53:53,11,18,434,0.005
2023-07-20 02:54:53,11,16,434,0.006
2023-07-20 02:55:53,11,18,434,0.005
2023-07-20 02:56:54,10,15,435,0.005
2023-07-20 02:57:54,11,17,435,0.004
2023-07-20 02:58:54,11,17,435,0.005
2023-07-20 02:59:53,11,18,435,0.004
2023-07-20 03:00:53,11,18,435,0.004
2023-07-20 03:01:53,9,15,435,0.005
2023-07-20 03:02:53,10,15,433,0.005
2023-07-20 03:03:54,9,14,433,0.005
2023-07-20 03:04:54,11,16,433,0.005
2023-07-20 03:05:54,11,18,433,0.004
2023-07-20 03:06:54,11,16,433,0.004
2023-07-20 03:07:53,10,16,433,0.004
2023-07-20 03:08:53,11,17,434,0.005
2023-07-20 03:09:53,11,18,434,0.005
2023-07-20 03:10:53,11,18,434,0.005
2023-07-20 03:11:54,10,16,434,0.004
2023-07-20 03:12:54,11,17,435,0.004
2023-07-20 03:13:54,11,17,435,0.004
2023-07-20 03:14:54,11,18,436,0.004
2023-07-20 03:15:53,11,18,436,0.003
2023-07-20 03:16:53,11,17,436,0.003
2023-07-20 03:17:53,11,17,436,0.004
2023-07-20 03:18:54,10,16,436,0.003
2023-07-20 03:19:54,11,17,436,0.003
2023-07-20 03:20:54,11,17,436,0.004
2023-07-20 03:21:54,11,18,435,0.004
2023-07-20 03:22:54,11,17,436,0.003
2023-07-20 03:23:53,11,17,437,0.004
2023-07-20 03:24:53,11,18,436,0.003
2023-07-20 03:25:54,11,17,436,0.003
2023-07-20 03:26:55,11,18,436,0.004
2023-07-20 03:27:55,11,18,437,0.004
2023-07-20 03:28:55,10,17,436,0.003
2023-07-20 03:29:55,11,16,437,0.004
2023-07-20 03:30:54,10,17,438,0.004
2023-07-20 03:31:54,10,15,437,0.003
2023-07-20 03:32:54,10,16,437,0.004
2023-07-20 03:33:55,10,16,438,0.005
2023-07-20 03:34:55,11,18,438,0.003
2023-07-20 03:35:55,11,17,439,0.003
2023-07-20 03:36:55,11,17,439,0.005
2023-07-20 03:37:55,11,16,439,0.005
2023-07-20 03:38:55,11,17,439,0.004
2023-07-20 03:39:54,9,14,439,0.003
2023-07-20 03:40:54,10,16,438,0.003
2023-07-20 03:41:54,10,16,437,0.005
2023-07-20 03:42:55,10,16,437,0.004
2023-07-20 03:43:55,10,15,438,0.003
2023-07-20 03:44:55,9,15,437,0.003
2023-07-20 03:45:55,10,15,437,0.003
2023-07-20 03:46:55,10,16,437,0.004
2023-07-20 03:47:54,10,16,437,0.004
2023-07-20 03:48:54,10,16,437,0.003
2023-07-20 03:49:55,10,17,436,0.004
2023-07-20 03:50:55,10,16,436,0.004
2023-07-20 03:51:55,10,16,436,0.004
2023-07-20 03:52:55,10,16,438,0.004
2023-07-20 03:53:55,10,15,438,0.003
2023-07-20 03:54:55,10,16,438,0.003
2023-07-20 03:55:54,9,14,438,0.003
2023-07-20 03:56:55,10,16,439,0.003
2023-07-20 03:57:55,10,16,439,0.003
2023-07-20 03:58:55,10,15,439,0.003
2023-07-20 03:59:55,10,16,439,0.004
2023-07-20 04:00:55,10,15,439,0.004
2023-07-20 04:01:55,10,16,439,0.004
2023-07-20 04:02:55,10,16,438,0.004
2023-07-20 04:03:54,10,15,439,0.004
2023-07-20 04:04:55,10,16,439,0.004
2023-07-20 04:05:55,9,14,440,0.004
2023-07-20 04:06:55,10,16,439,0.004
2023-07-20 04:07:55,10,16,439,0.004
2023-07-20 04:08:55,9,15,438,0.004
2023-07-20 04:09:55,10,16,438,0.003
2023-07-20 04:10:54,10,16,438,0.004
2023-07-20 04:11:55,10,16,437,0.004
2023-07-20 04:12:55,10,16,438,0.003
2023-07-20 04:13:55,10,15,437,0.003
2023-07-20 04:14:55,9,15,436,0.004
2023-07-20 04:15:55,9,15,437,0.004
2023-07-20 04:16:55,10,16,437,0.004
2023-07-20 04:17:55,10,15,437,0.004
2023-07-20 04:18:54,10,15,437,0.004
2023-07-20 04:19:55,10,16,438,0.004
2023-07-20 04:20:55,11,17,438,0.004
2023-07-20 04:21:55,10,16,437,0.004
2023-07-20 04:22:55,9,14,437,0.005
2023-07-20 04:23:55,11,17,437,0.004
2023-07-20 04:24:55,10,15,437,0.005
2023-07-20 04:25:54,9,14,436,0.004
2023-07-20 04:26:55,10,16,437,0.004
2023-07-20 04:27:55,9,15,437,0.004
2023-07-20 04:28:55,11,18,437,0.004
2023-07-20 04:29:55,10,16,436,0.004
2023-07-20 04:30:55,10,15,436,0.004
2023-07-20 04:31:55,10,16,435,0.004
2023-07-20 04:32:55,10,15,434,0.004
2023-07-20 04:33:55,10,16,434,0.004
2023-07-20 04:34:55,9,14,433,0.004
2023-07-20 04:35:55,9,14,433,0.003
2023-07-20 04:36:55,9,14,432,0.003
2023-07-20 04:37:55,9,14,432,0.004
2023-07-20 04:38:55,9,14,432,0.004
2023-07-20 04:39:55,9,14,431,0.004
2023-07-20 04:40:55,9,14,432,0.004
2023-07-20 04:41:55,9,13,431,0.004
2023-07-20 04:42:55,10,16,431,0.004
2023-07-20 04:43:55,9,14,431,0.004
2023-07-20 04:44:55,9,14,430,0.004
2023-07-20 04:45:55,9,14,429,0.003
2023-07-20 04:46:55,9,14,433,0.003
2023-07-20 04:47:56,9,14,429,0.004
2023-07-20 04:48:55,10,16,428,0.004
2023-07-20 04:49:55,10,16,429,0.003
2023-07-20 04:50:55,8,13,428,0.004
2023-07-20 04:51:55,9,14,428,0.004
2023-07-20 04:52:55,8,13,428,0.004
2023-07-20 04:53:55,9,14,429,0.003
2023-07-20 04:54:55,8,12,429,0.004
2023-07-20 04:55:56,8,12,428,0.004
2023-07-20 04:56:55,9,13,429,0.004
2023-07-20 04:57:55,8,12,428,0.004
2023-07-20 04:58:55,8,12,428,0.004
2023-07-20 04:59:55,7,12,427,0.004
2023-07-20 05:00:55,8,12,426,0.004
2023-07-20 05:01:55,8,12,427,0.004
2023-07-20 05:02:56,9,14,427,0.004
2023-07-20 05:03:55,9,14,427,0.004
2023-07-20 05:04:55,8,13,427,0.004
2023-07-20 05:05:55,9,14,427,0.004
2023-07-20 05:06:55,8,13,427,0.004
2023-07-20 05:07:55,7,11,427,0.004
2023-07-20 05:08:55,8,11,428,0.004
2023-07-20 05:09:55,8,12,431,0.005
2023-07-20 05:10:56,8,12,436,0.004
2023-07-20 05:11:55,7,12,442,0.004
2023-07-20 05:12:55,7,11,441,0.003
2023-07-20 05:13:55,8,12,438,0.004
2023-07-20 05:14:55,7,10,437,0.004
2023-07-20 05:15:55,8,13,436,0.004
2023-07-20 05:16:55,8,12,435,0.004
2023-07-20 05:17:56,8,13,434,0.005
2023-07-20 05:18:56,8,12,436,0.004
2023-07-20 05:19:55,7,11,445,0.004
2023-07-20 05:20:55,7,10,447,0.004
2023-07-20 05:21:55,8,12,445,0.004
2023-07-20 05:22:55,7,12,440,0.004
2023-07-20 05:23:55,8,12,435,0.004
2023-07-20 05:24:55,8,12,433,0.004
2023-07-20 05:25:56,8,13,430,0.004
2023-07-20 05:26:56,8,12,429,0.004
2023-07-20 05:27:55,7,11,427,0.004
2023-07-20 05:28:55,8,12,426,0.004
2023-07-20 05:29:55,7,11,425,0.004
2023-07-20 05:30:55,7,11,425,0.004
2023-07-20 05:31:55,8,12,424,0.004
2023-07-20 05:32:56,7,11,423,0.004
2023-07-20 05:33:56,8,13,423,0.004
2023-07-20 05:34:56,8,13,422,0.003
2023-07-20 05:35:56,7,11,421,0.004
2023-07-20 05:36:55,7,12,420,0.003
2023-07-20 05:37:55,7,12,421,0.004
2023-07-20 05:38:55,8,13,420,0.003
2023-07-20 05:39:55,8,13,419,0.003
2023-07-20 05:40:55,7,11,419,0.003
2023-07-20 05:41:56,7,11,419,0.004
2023-07-20 05:42:56,7,12,419,0.005
2023-07-20 05:43:55,7,12,419,0.004
2023-07-20 05:44:55,7,11,418,0.003
