DATE,PM2.5,PM10,CO2,HCHO
2023-07-17 18:48:11,59,93,504,0.075
2023-07-17 18:49:11,180,289,778,0.101
2023-07-17 18:50:11,252,400,1171,0.150
2023-07-17 18:51:11,232,373,1347,0.173
2023-07-17 18:52:11,213,340,1105,0.158
2023-07-17 18:53:12,198,313,1001,0.148
2023-07-17 18:54:11,161,255,902,0.131
2023-07-17 18:55:11,125,199,798,0.114
2023-07-17 18:56:11,100,157,666,0.096
2023-07-17 18:57:11,110,174,690,0.089
2023-07-17 18:58:11,103,161,659,0.077
2023-07-17 18:59:12,112,176,805,0.077
2023-07-17 19:00:11,49,78,650,0.085
2023-07-17 19:01:11,22,35,572,0.046
2023-07-17 19:02:11,27,44,561,0.038
2023-07-17 19:03:11,98,156,792,0.059
2023-07-17 19:04:11,180,280,776,0.075
2023-07-17 19:05:12,203,315,725,0.059
2023-07-17 19:06:12,207,324,723,0.062
2023-07-17 19:07:11,205,322,726,0.064
2023-07-17 19:08:11,100,155,734,0.069
2023-07-17 19:09:11,107,169,738,0.076
2023-07-17 19:10:11,110,174,730,0.067
2023-07-17 19:11:12,110,171,730,0.068
2023-07-17 19:12:12,105,165,730,0.066
2023-07-17 19:13:11,14,23,719,0.077
2023-07-17 19:14:11,63,97,747,0.044
2023-07-17 19:15:11,62,96,775,0.052
2023-07-17 19:16:11,61,94,783,0.050
2023-07-17 19:17:12,60,94,782,0.056
2023-07-17 19:18:12,58,90,782,0.047
2023-07-17 19:19:11,61,95,781,0.057
2023-07-17 19:20:11,57,88,781,0.053
2023-07-17 19:21:11,32,48,781,0.054
2023-07-17 19:22:11,42,66,795,0.044
2023-07-17 19:23:12,56,90,830,0.038
2023-07-17 19:24:12,51,79,826,0.035
2023-07-17 19:25:11,45,68,818,0.036
2023-07-17 19:26:11,37,59,830,0.038
2023-07-17 19:27:11,27,42,844,0.046
2023-07-17 19:28:11,25,39,848,0.043
2023-07-17 19:29:12,23,36,849,0.045
2023-07-17 19:30:12,22,35,845,0.043
2023-07-17 19:31:11,20,33,844,0.043
2023-07-17 19:32:11,21,33,841,0.043
2023-07-17 19:33:11,20,31,840,0.045
2023-07-17 19:34:11,17,26,838,0.045
2023-07-17 19:35:12,17,26,838,0.044
2023-07-17 19:36:12,17,27,838,0.045
2023-07-17 19:37:12,16,25,838,0.044
2023-07-17 19:38:11,16,26,839,0.045
2023-07-17 19:39:11,15,22,839,0.047
2023-07-17 19:40:11,14,22,839,0.046
2023-07-17 19:41:12,14,24,839,0.045
2023-07-17 19:42:12,13,21,839,0.045
2023-07-17 19:43:12,14,22,840,0.046
2023-07-17 19:44:11,13,22,841,0.045
2023-07-17 19:45:11,12,18,840,0.045
2023-07-17 19:46:11,12,19,842,0.047
2023-07-17 19:47:12,11,18,844,0.045
2023-07-17 19:48:12,11,17,848,0.045
2023-07-17 19:49:12,11,18,849,0.045
2023-07-17 19:50:11,11,17,850,0.047
2023-07-17 19:51:11,10,16,854,0.045
2023-07-17 19:52:11,11,17,856,0.045
2023-07-17 19:53:12,10,16,858,0.044
2023-07-17 19:54:13,10,15,861,0.045
2023-07-17 19:55:13,10,15,863,0.044
2023-07-17 19:56:13,10,16,866,0.043
2023-07-17 19:57:12,10,15,870,0.045
2023-07-17 19:58:12,10,16,873,0.044
2023-07-17 19:59:13,9,14,876,0.043
2023-07-17 20:00:13,9,15,878,0.043
2023-07-17 20:01:13,9,14,879,0.044
2023-07-17 20:02:13,9,13,884,0.043
2023-07-17 20:03:12,9,13,887,0.043
2023-07-17 20:04:12,9,14,887,0.042
2023-07-17 20:05:13,9,13,888,0.041
2023-07-17 20:06:13,9,14,892,0.043
2023-07-17 20:07:13,7,11,894,0.041
2023-07-17 20:08:13,7,12,897,0.041
2023-07-17 20:09:12,8,12,898,0.041
2023-07-17 20:10:12,8,13,898,0.041
2023-07-17 20:11:13,6,10,900,0.041
2023-07-17 20:12:13,8,12,900,0.041
2023-07-17 20:13:13,7,12,902,0.042
2023-07-17 20:14:13,7,12,904,0.042
2023-07-17 20:15:12,8,11,906,0.041
2023-07-17 20:16:12,6,10,907,0.043
2023-07-17 20:17:13,8,12,908,0.043
2023-07-17 20:18:14,9,13,914,0.046
2023-07-17 20:19:14,12,18,929,0.038
2023-07-17 20:20:14,15,23,942,0.050
2023-07-17 20:21:13,12,19,940,0.041
2023-07-17 20:22:13,10,15,961,0.037
2023-07-17 20:23:14,10,15,953,0.039
2023-07-17 20:24:15,10,16,949,0.039
2023-07-17 20:25:15,10,16,946,0.040
2023-07-17 20:26:15,12,19,949,0.039
2023-07-17 20:27:15,12,18,952,0.041
2023-07-17 20:28:14,12,19,957,0.039
2023-07-17 20:29:14,11,17,960,0.041
2023-07-17 20:30:15,12,19,964,0.041
2023-07-17 20:31:15,12,18,967,0.040
2023-07-17 20:32:15,10,16,971,0.041
2023-07-17 20:33:15,12,19,971,0.040
2023-07-17 20:34:14,11,18,971,0.040
2023-07-17 20:35:14,10,16,972,0.042
2023-07-17 20:36:15,11,17,972,0.041
2023-07-17 20:37:15,11,17,974,0.042
2023-07-17 20:38:15,10,16,977,0.041
2023-07-17 20:39:15,10,15,982,0.043
2023-07-17 20:40:15,11,17,988,0.041
2023-07-17 20:41:14,10,15,992,0.041
